Ion   Ju     Eu(eV)         Jl      El(eV)          lambda(AA)     A(s^-1)       gf  
UII   5.5   4.2890         6.5     0.2169            3043.811      3.177E+07  0.4511 
UII   6.5   4.1044         5.5     0.03584           3046.467      1.667E+07  0.3764 
UII   4.5   4.0636         4.5     0.000             3050.197      4.242E+07  0.5880 
UII   7.5   4.2653         6.5     0.2169            3061.618      2.552E+07  0.6518 
UII   6.5   4.2641         6.5     0.2169            3062.537      3.817E+07  0.7468 
UII   6.5   4.3300         5.5     0.2845            3063.879      1.535E+07  0.3506 
UII   7.5   4.7304         6.5     0.6852            3064.14       2.037E+07  0.5210 
UII   6.5   4.3033         5.5     0.2845            3084.234      1.647E+07  0.3814 
UII   6.5   4.2995         5.5     0.2845            3087.109      1.639E+07  0.3802 
UII   6.5   4.2294         6.5     0.2169            3088.987      2.411E+07  0.4800 
UII   6.5   4.2216         6.5     0.2169            3095.04       2.594E+07  0.5184 
UII   5.5   4.2890         5.5     0.2845            3095.228      2.692E+07  0.4612 
UII   6.5   4.2763         5.5     0.2845            3105.099      1.759E+07  0.4127 
UII   6.5   4.2003         6.5     0.2169            3111.618      4.274E+07  0.8633 
UII   6.5   4.0184         5.5     0.03584           3112.25       1.669E+07  0.3934 
UII   6.5   4.2641         5.5     0.2845            3114.593      1.830E+07  0.4321 
UII   7.5   4.6256         7.5     0.6521            3119.349      4.372E+07  1.014  
UII   3.5   3.9710         4.5     0.000             3121.332      3.307E+07  0.3073 
UII   4.5   4.0798         4.5     0.1134            3124.952      4.538E+07  0.6603 
UII   2.5   4.5424         3.5     0.5782            3126.697      8.723E+07  0.5718 
UII   5.5   4.2402         5.5     0.2845            3133.426      1.881E+07  0.3302 
UII   7.5   4.7304         6.5     0.7790            3136.895      2.443E+07  0.6551 
UII   4.5   4.6566         4.5     0.7087            3139.606      7.179E+07  1.054  
UII   6.5   4.2294         5.5     0.2845            3141.954      1.665E+07  0.4001 
UII   7.5   4.6256         6.5     0.6852            3145.566      3.676E+07  0.9910 
UII   4.5   3.9366         4.5     0.000             3148.586      2.033E+07  0.3003 
UII   6.5   4.1504         6.5     0.2169            3151.087      1.792E+07  0.3712 
UII   2.5   4.5064         3.5     0.5782            3155.406      7.922E+07  0.5289 
UII   6.5   4.2121         5.5     0.2845            3155.856      2.107E+07  0.5107 
UII   5.5   4.2001         5.5     0.2845            3165.506      2.587E+07  0.4635 
UII   6.5   4.5605         7.5     0.6521            3171.363      3.059E+07  0.5616 
UII   3.5   3.9055         4.5     0.000             3173.719      2.511E+07  0.2412 
UII   7.5   4.1193         6.5     0.2169            3176.206      1.888E+07  0.5189 
UII   6.5   3.9348         5.5     0.03584           3179.034      1.457E+07  0.3584 
UII   4.5   4.0114         4.5     0.1134            3179.821      2.567E+07  0.3867 
UII   7.5   4.1076         6.5     0.2169            3185.698      1.686E+07  0.4663 
UII   6.5   4.1044         6.5     0.2169            3188.335      2.008E+07  0.4257 
UII   2.5   4.4616         3.5     0.5782            3191.742      5.567E+07  0.3802 
UII   4.5   3.9795         4.5     0.1134            3206.047      2.987E+07  0.4575 
UII   6.5   4.1504         5.5     0.2845            3206.225      1.518E+07  0.3798 
UII   7.5   4.8984         7.5     1.041             3213.069      2.399E+07  0.5904 
UII   4.5   3.9554         4.5     0.1134            3226.175      2.499E+07  0.3875 
UII   5.5   3.8707         5.5     0.03584           3232.156      3.006E+07  0.5616 
UII   3.5   3.9408         4.5     0.1134            3238.456      2.315E+07  0.2315 
UII   4.5   3.9366         4.5     0.1134            3241.992      2.354E+07  0.3686 
UII   6.5   4.1044         5.5     0.2845            3244.795      1.439E+07  0.3686 
UII   5.5   3.8539         5.5     0.03584           3246.386      1.806E+07  0.3403 
UII   5.5   4.5181         4.5     0.7087            3253.765      2.453E+07  0.5571 
UII   5.5   3.8053         4.5     0.000             3257.241      8.967E+06  0.2041 
UII   7.5   4.0170         6.5     0.2169            3261.715      1.564E+07  0.4534 
