Ion   Ju     Eu(eV)         Jl      El(eV)          lambda(AA)     A(s^-1)       gf  
UII   6.5   3.2751         6.5     0.2169            4053.02       6.859E+06  0.2350 
UII   7.5   3.8363         6.5     0.7790            4054.305      1.141E+07  0.5112 
UII   6.5   3.0901         5.5     0.03584           4058.187      7.141E+06  0.2862 
UII   6.5   3.9937         5.5     0.9421            4061.753      9.642E+06  0.3871 
UII   5.5   3.0510         4.5     0.000             4062.544      1.062E+07  0.3761 
UII   5.5   3.8262         6.5     0.7790            4067.748      2.545E+07  0.6453 
UII   5.5   3.2589         6.5     0.2169            4074.485      1.142E+07  0.2905 
UII   4.5   3.1539         4.5     0.1134            4076.685      1.104E+07  0.2734 
UII   4.5   3.7523         5.5     0.7179            4084.927      1.880E+07  0.3895 
UII   4.5   3.0318         4.5     0.000             4088.252      8.951E+06  0.2229 
UII   6.5   3.2473         6.5     0.2169            4090.133      1.966E+07  0.6859 
UII   8.5   4.2939         7.5     1.264             4091.494      1.408E+07  0.7111 
UII   6.5   3.5750         5.5     0.5481            4094.891      5.517E+06  0.2251 
UII   5.5   3.8053         6.5     0.7790            4095.77       1.706E+07  0.4387 
UII   4.5   3.0604         5.5     0.03584           4098.027      1.389E+07  0.2897 
UII   3.5   3.0180         4.5     0.000             4106.934      1.207E+07  0.1942 
UII   4.5   3.0135         4.5     0.000             4113.113      5.922E+06  0.1493 
UII   5.5   3.0113         4.5     0.000             4116.097      9.762E+06  0.3549 
UII   6.5   3.2219         6.5     0.2169            4124.728      9.184E+06  0.3260 
UII   6.5   3.5505         5.5     0.5481            4128.334      1.089E+07  0.4516 
UII   6.5   3.7168         5.5     0.7179            4133.201      8.047E+06  0.3345 
UII   5.5   3.7761         6.5     0.7790            4135.756      1.143E+07  0.2997 
UII   5.5   3.5444         5.5     0.5481            4136.813      9.224E+06  0.2822 
UII   4.5   3.2794         5.5     0.2845            4138.653      8.641E+06  0.1838 
UII   5.5   2.9946         4.5     0.000             4139.138      5.096E+06  0.1873 
UII   6.5   4.0338         7.5     1.041             4141.221      2.456E+07  0.7687 
UII   6.5   3.2751         5.5     0.2845            4144.695      5.348E+06  0.2236 
UII   7.5   3.7619         6.5     0.7790            4155.409      9.950E+06  0.4681 
UII   5.5   2.9769         4.5     0.000             4163.678      6.505E+06  0.2420 
UII   6.5   3.0120         5.5     0.03584           4164.788      2.951E+06  0.1246 
UII   5.5   3.0113         5.5     0.03584           4165.671      7.213E+06  0.2238 
UII   6.5   3.1881         6.5     0.2169            4171.589      1.503E+07  0.5455 
UII   5.5   3.7493         6.5     0.7790            4172.973      1.310E+07  0.3496 
UII   6.5   3.6547         6.5     0.6852            4174.189      1.066E+07  0.3875 
UII   5.5   3.5345         6.5     0.5685            4178.995      1.059E+07  0.2834 
UII   6.5   2.9954         5.5     0.03584           4188.064      4.459E+06  0.1903 
UII   5.5   2.9946         5.5     0.03584           4189.272      7.394E+06  0.2320 
UII   6.5   3.9937         7.5     1.041             4197.507      1.555E+07  0.5001 
UII   5.5   3.7302         6.5     0.7790            4200.086      8.530E+06  0.2306 
UII   5.5   2.9481         4.5     0.000             4204.354      4.703E+06  0.1784 
UII   5.5   3.1607         6.5     0.2169            4210.441      5.707E+06  0.1551 
UII   5.5   3.5115         6.5     0.5685            4211.658      1.300E+07  0.3535 
UII   5.5   3.4907         5.5     0.5481            4212.253      8.642E+06  0.2742 
UII   5.5   2.9769         5.5     0.03584           4214.411      4.078E+06  0.1295 
UII   7.5   3.7111         6.5     0.7790            4227.325      5.203E+06  0.2533 
UII   3.5   3.5146         2.5     0.5835            4228.756      7.781E+06  0.2211 
UII   4.5   2.9647         5.5     0.03584           4232.043      5.457E+06  0.1214 
UII   6.5   3.5750         7.5     0.6521            4240.587      6.102E+06  0.2003 
UII   5.5   3.4907         6.5     0.5685            4241.664      2.357E+07  0.6499 
UII   5.5   2.9203         4.5     0.000             4244.373      7.208E+06  0.2786 
UII   6.5   3.4629         5.5     0.5481            4252.426      6.504E+06  0.2862 
UII   3.5   3.0180         4.5     0.1134            4267.298      1.007E+07  0.1748 
UII   4.5   3.1881         5.5     0.2845            4268.846      7.168E+06  0.1622 
UII   6.5   3.1199         6.5     0.2169            4269.605      5.390E+06  0.2049 
UII   4.5   3.0135         4.5     0.1134            4273.97       5.022E+06  0.1367 
UII   6.5   3.5505         7.5     0.6521            4276.463      6.964E+06  0.2325 
UII   6.5   2.9305         5.5     0.03584           4282.023      4.210E+06  0.1879 
UII   5.5   3.4629         6.5     0.5685            4282.46       1.028E+07  0.2888 
UII   4.5   2.8907         4.5     0.000             4287.861      6.609E+06  0.1810 
UII   5.5   2.9203         5.5     0.03584           4297.105      4.997E+06  0.1650 
UII   5.5   2.8816         4.5     0.000             4301.463      3.634E+06  0.1443 
UII   6.5   3.6547         6.5     0.7790            4310.375      5.711E+06  0.2214 
UII   6.5   3.0901         6.5     0.2169            4313.874      4.585E+06  0.1780 
UII   4.5   3.1539         5.5     0.2845            4319.77       5.088E+06  0.1179 
UII   6.5   3.5505         6.5     0.6852            4325.889      5.705E+06  0.2227 
UII   4.5   2.8907         5.5     0.03584           4341.686      1.338E+07  0.3132 
UII   4.5   2.9647         4.5     0.1134            4347.195      6.215E+06  0.1750 
UII   5.5   2.8414         4.5     0.000             4362.261      4.222E+06  0.1724 
UII   5.5   3.4095         6.5     0.5685            4362.928      6.716E+06  0.1959 
UII   5.5   2.9481         4.5     0.1134            4372.572      4.348E+06  0.1784 
UII   5.5   3.0510         6.5     0.2169            4373.407      5.724E+06  0.1678 
UII   5.5   3.8707         5.5     1.055             4402.431      9.028E+06  0.3129 
UII   4.5   2.8073         4.5     0.000             4415.239      5.108E+06  0.1484 
UII   3.5   3.3836         2.5     0.5835            4426.677      6.254E+06  0.1948 
UII   4.5   2.8353         5.5     0.03584           4427.651      5.661E+06  0.1378 
UII   7.5   3.8363         7.5     1.041             4433.887      6.511E+06  0.3051 
UII   6.5   3.0120         6.5     0.2169            4434.531      4.009E+06  0.1645 
UII   4.5   2.8907         4.5     0.1134            4462.967      5.671E+06  0.1683 
UII   4.5   3.0604         5.5     0.2845            4465.138      5.782E+06  0.1431 
UII   4.5   2.8073         5.5     0.03584           4472.33       1.142E+07  0.2837 
UII   5.5   2.8816         4.5     0.1134            4477.704      2.796E+06  0.1203 
UII   5.5   2.9769         6.5     0.2169            4490.833      5.226E+06  0.1615 
UII   4.5   2.7481         4.5     0.000             4510.317      3.512E+06  0.1065 
UII   4.5   2.7809         5.5     0.03584           4515.278      7.429E+06  0.1881 
UII   5.5   2.9481         6.5     0.2169            4538.189      6.390E+06  0.2017 
UII   5.5   2.8414         4.5     0.1134            4543.624      6.861E+06  0.3039 
UII   5.5   3.0113         5.5     0.2845            4545.562      5.256E+06  0.1942 
UII   4.5   2.8353         4.5     0.1134            4553.852      2.983E+06  0.09218
UII   7.5   3.7619         7.5     1.041             4555.091      6.293E+06  0.3113 
UII   6.5   2.9305         6.5     0.2169            4567.685      3.399E+06  0.1479 
UII   4.5   2.7481         5.5     0.03584           4569.91       5.642E+06  0.1463 
UII   5.5   2.9946         5.5     0.2845            4573.678      5.296E+06  0.1981 
UII   5.5   2.9203         6.5     0.2169            4584.851      3.605E+06  0.1161 
UII   4.5   2.8073         4.5     0.1134            4601.128      3.308E+06  0.1044 
UII   5.5   2.9769         5.5     0.2845            4603.659      4.889E+06  0.1853 
UII   5.5   3.4095         5.5     0.7179            4605.15       4.994E+06  0.1894 
UII   6.5   2.7246         5.5     0.03584           4609.861      1.622E+06  0.08391
UII   7.5   3.3336         7.5     0.6521            4622.423      3.017E+06  0.1537 
UII   6.5   3.2473         6.5     0.5685            4627.075      6.894E+06  0.3079 
UII   7.5   3.7111         7.5     1.041             4641.65       5.211E+06  0.2677 
UII   4.5   2.7809         4.5     0.1134            4646.597      5.846E+06  0.1881 
UII   6.5   2.6918         5.5     0.03584           4666.85       2.684E+06  0.1423 
UII   6.5   3.2219         6.5     0.5685            4671.397      4.566E+06  0.2078 
UII   3.5   2.6434         4.5     0.000             4689.075      7.077E+06  0.1484 
UII   4.5   2.6725         5.5     0.03584           4700.973      3.135E+06  0.08604
UII   3.5   3.2196         2.5     0.5835            4702.04       4.404E+06  0.1547 
UII   5.5   2.9203         5.5     0.2845            4702.512      3.933E+06  0.1555 
UII   5.5   2.8414         6.5     0.2169            4722.717      5.192E+06  0.1775 
UII   6.5   3.1881         6.5     0.5685            4731.594      4.735E+06  0.2211 
UII   3.5   2.6063         4.5     0.000             4755.735      5.369E+06  0.1158 
UII   3.5   2.5989         4.5     0.000             4769.266      4.692E+06  0.1018 
UII   5.5   2.8816         5.5     0.2845            4772.693      3.747E+06  0.1526 
UII   4.5   2.7067         4.5     0.1134            4779.628      2.799E+06  0.09527
UII   6.5   3.1199         5.5     0.5481            4819.549      2.563E+06  0.1449 
UII   5.5   2.8414         5.5     0.2845            4847.657      3.145E+06  0.1321 
UII   6.5   3.1199         6.5     0.5685            4858.09       3.744E+06  0.1843 
UII   3.5   2.5506         4.5     0.000             4859.694      4.416E+06  0.09946
UII   3.5   3.2196         3.5     0.6697            4860.991      7.750E+06  0.2183 
UII   5.5   2.8225         5.5     0.2845            4883.783      2.459E+06  0.1049 
UII   6.5   3.2219         6.5     0.6852            4886.326      2.546E+06  0.1268 
UII   3.5   2.6434         4.5     0.1134            4899.285      5.207E+06  0.1192 
UII   4.5   2.8073         5.5     0.2845            4913.169      4.210E+06  0.1262 
UII   3.5   3.2196         3.5     0.7027            4924.646      5.158E+06  0.1491 
UII   4.5   3.0604         5.5     0.5481            4933.662      3.622E+06  0.1095 
UII   6.5   3.2219         5.5     0.7179            4950.175      2.161E+06  0.1289 
UII   3.5   2.6063         4.5     0.1134            4972.102      3.496E+06  0.08241
UII   3.5   2.5989         4.5     0.1134            4986.894      3.461E+06  0.08208
UII   6.5   2.6918         6.5     0.2169            5008.21       2.684E+06  0.1404 
UII   4.5   2.7402         5.5     0.2845            5047.405      2.383E+06  0.07540
UII   6.5   2.4768         5.5     0.03584           5077.805      9.339E+05  0.05860
UII   3.5   2.5506         4.5     0.1134            5085.848      3.072E+06  0.07577
UII   4.5   2.7067         5.5     0.2845            5117.238      3.706E+06  0.1205 
UII   4.5   3.2119         4.5     0.7991            5137.046      2.812E+06  0.1106 
UII   6.5   3.1881         6.5     0.7790            5145.084      2.180E+06  0.1204 
UII   5.5   2.6894         5.5     0.2845            5154.048      1.691E+06  0.08030
UII   6.5   3.1199         5.5     0.7179            5160.316      2.996E+06  0.1942 
UII   4.5   3.0604         3.5     0.6697            5184.57       3.125E+06  0.1565 
UII   5.5   3.1607         6.5     0.7790            5204.313      3.834E+06  0.1591 
UII   6.5   3.0901         5.5     0.7179            5225.122      1.678E+06  0.1115 
UII   6.5   3.5505         5.5     1.184             5238.615      2.373E+06  0.1585 
UII   4.5   3.0318         3.5     0.6697            5247.353      1.856E+06  0.09518
UII   6.5   2.9305         6.5     0.5685            5247.749      2.232E+06  0.1282 
UII   4.5   3.0604         3.5     0.7027            5257.045      2.837E+06  0.1460 
UII   3.5   3.0180         3.5     0.6697            5278.169      3.168E+06  0.1052 
UII   4.5   3.0135         3.5     0.6697            5288.38       1.813E+06  0.09442
UII   5.5   2.3343         4.5     0.000             5310.041      8.574E+05  0.05187
UII   5.5   2.8816         5.5     0.5481            5311.879      2.337E+06  0.1179 
UII   5.5   3.0510         5.5     0.7179            5312.716      1.856E+06  0.09367
UII   4.5   3.0318         3.5     0.7027            5321.606      1.746E+06  0.09209
UII   5.5   3.1055         6.5     0.7790            5327.757      3.203E+06  0.1393 
UII   6.5   2.8650         5.5     0.5481            5349.913      1.270E+06  0.08848
UII   4.5   3.0135         3.5     0.7027            5363.807      1.794E+06  0.09614
UII   4.5   3.4341         3.5     1.125             5368.421      3.293E+06  0.1768 
UII   5.5   4.2097         6.5     1.908             5386.19       1.152E+07  0.5122 
UII   4.5   2.9647         3.5     0.6697            5400.946      2.272E+06  0.1234 
UII   6.5   3.0120         5.5     0.7179            5403.187      1.518E+06  0.1079 
UII   7.5   3.3336         7.5     1.041             5405.975      2.128E+06  0.1482 
UII   5.5   2.9946         5.5     0.7179            5444.467      2.424E+06  0.1285 
UII   7.5   3.4613         6.5     1.193             5465.676      2.515E+06  0.2047 
UII   5.5   3.4095         4.5     1.146             5475.706      4.339E+06  0.2792 
UII   4.5   3.8133         5.5     1.552             5480.265      1.054E+07  0.3930 
UII   4.5   3.0604         4.5     0.7991            5481.203      4.176E+06  0.1869 
UII   5.5   4.1692         6.5     1.908             5482.526      1.002E+07  0.4616 
UII   5.5   2.9769         5.5     0.7179            5487.004      2.368E+06  0.1275 
UII   6.5   3.3124         5.5     1.055             5491.222      2.423E+06  0.1778 
UII   4.5   2.2565         4.5     0.000             5492.952      2.697E+06  0.1212 
UII   6.5   2.8039         5.5     0.5481            5494.657      1.330E+06  0.09769
UII   5.5   3.4375         5.5     1.184             5501.492      2.653E+06  0.1436 
UII   5.5   3.0510         4.5     0.7991            5504.128      2.246E+06  0.1460 
UII   4.5   3.7938         5.5     1.552             5527.81       1.028E+07  0.3898 
UII   5.5   2.5236         5.5     0.2845            5535.777      1.071E+06  0.05866
UII   4.5   3.3632         3.5     1.125             5538.522      2.758E+06  0.1576 
UII   6.5   2.8039         6.5     0.5685            5544.807      1.542E+06  0.09886
UII   4.5   3.7856         5.5     1.552             5548.042      5.357E+06  0.2047 
UII   4.5   3.0318         4.5     0.7991            5551.425      2.702E+06  0.1241 
UII   5.5   3.4095         5.5     1.184             5570.665      3.810E+06  0.2114 
UII   4.5   2.8907         3.5     0.6697            5580.805      1.652E+06  0.09585
UII   5.5   2.3343         4.5     0.1134            5581.222      9.385E+05  0.06272
UII   4.5   2.2565         5.5     0.03584           5581.594      1.845E+06  0.07136
UII   4.5   3.0135         4.5     0.7991            5597.365      2.639E+06  0.1232 
UII   5.5   3.0113         4.5     0.7991            5602.892      1.677E+06  0.1129 
UII   4.5   2.8815         3.5     0.6697            5603.973      1.370E+06  0.08014
UII   6.5   2.4768         5.5     0.2845            5653.771      8.665E+05  0.06741
UII   4.5   3.0604         4.5     0.8885            5706.993      2.405E+06  0.1167 
UII   4.5   2.8353         3.5     0.6697            5723.648      2.033E+06  0.1241 
UII   6.5   3.1881         6.5     1.026             5733.236      2.022E+06  0.1386 
UII   7.5   3.1824         6.5     1.026             5748.448      1.115E+06  0.1004 
UII   5.5   2.6894         5.5     0.5481            5788.568      1.432E+06  0.08578
UII   7.5   3.3336         6.5     1.193             5791.749      1.775E+06  0.1622 
UII   4.5   2.8073         3.5     0.6697            5798.53       2.501E+06  0.1566 
UII   3.5   2.7103         2.5     0.5835            5828.005      1.471E+06  0.07942
UII   6.5   2.6918         6.5     0.5685            5837.682      1.786E+06  0.1269 
UII   5.5   2.9203         4.5     0.7991            5843.277      1.488E+06  0.1090 
UII   4.5   2.1564         5.5     0.03584           5845.247      1.451E+06  0.06154
UII   5.5   2.3343         6.5     0.2169            5853.903      1.271E+06  0.06674
UII   4.5   2.7809         3.5     0.6697            5870.93       1.787E+06  0.1147 
UII   5.5   2.8816         6.5     0.7790            5895.311      1.993E+06  0.1061 
UII   5.5   3.1439         5.5     1.055             5934.445      1.534E+06  0.09662
UII   5.5   2.8816         4.5     0.7991            5952.031      1.359E+06  0.1033 
UII   4.5   3.2957         3.5     1.232             6004.815      2.344E+06  0.1574 
UII   3.5   2.6434         2.5     0.5835            6017.381      1.631E+06  0.09386
UII   5.5   2.1616         4.5     0.1134            6051.738      1.003E+06  0.07879
UII   4.5   2.1564         4.5     0.1134            6067.219      1.314E+06  0.07208
UII   4.5   2.8353         4.5     0.7991            6087.336      2.087E+06  0.1152 
UII   4.5   2.7809         4.5     0.7991            6254.203      1.521E+06  0.08866
UII   6.5   2.6918         5.5     0.7179            6279.619      7.231E+05  0.06939
UII   3.5   2.6434         3.5     0.6697            6280.183      2.111E+06  0.09926
UII   6.5   1.9791         5.5     0.03584           6378.519      5.307E+05  0.05255
UII   4.5   2.6517         4.5     0.7087            6379.619      1.546E+06  0.09376
UII   3.5   2.6063         3.5     0.6697            6400.336      1.166E+06  0.05693
UII   3.5   2.5989         3.5     0.6697            6424.867      1.325E+06  0.06522
UII   4.5   3.1539         3.5     1.232             6448.025      1.039E+06  0.08046
UII   6.5   2.5667         6.5     0.6852            6587.842      5.922E+05  0.05361
UII   4.5   2.1564         5.5     0.2845            6621.776      9.470E+05  0.05156
UII   4.5   2.8073         3.5     0.9358            6622.835      8.384E+05  0.06849
UII   4.5   2.7809         3.5     0.9358            6717.451      8.568E+05  0.07201
UII   5.5   3.1607         5.5     1.332             6776.888      1.053E+06  0.08647
UII   5.5   2.8414         4.5     1.039             6876.746      1.476E+06  0.1497 
UII   4.5   3.0604         3.5     1.295             7020.68       1.397E+06  0.1282 
UII   3.5   2.4199         3.5     0.6697            7082.094      1.038E+06  0.06204
UII   3.5   2.4199         3.5     0.7027            7218.022      8.411E+05  0.05224
UII   5.5   2.9946         5.5     1.332             7454.038      1.177E+06  0.1170 
UII   5.5   2.6894         4.5     1.039             7510.058      5.127E+05  0.06204
UII   5.5   2.5236         4.5     0.8885            7580.934      5.006E+05  0.06173
UII   5.5   2.8414         4.5     1.225             7669.704      5.330E+05  0.06727
UII   5.5   2.9203         5.5     1.332             7802.414      8.709E+05  0.09480
UII   4.5   2.7067         3.5     1.125             7837.718      7.527E+05  0.08612
UII   4.5   2.2565         3.5     0.7027            7976.896      4.765E+05  0.05647
UII   5.5   2.3343         4.5     0.7991            8074.036      4.431E+05  0.06198
UII   5.5   2.3128         4.5     0.7991            8188.238      4.295E+05  0.06179
UII   4.5   2.1564         3.5     0.6697            8337.499      5.376E+05  0.06960        
