波长nm,计数count
459.7965544,-18.13897331
459.7984931,-2.127412731
459.8004315,-21.11585216
459.8023698,-15.10429158
459.8043077,-30.09273101
459.8062454,-34.08117043
459.8081829,-33.06960986
459.8101202,-15.05804928
459.8120572,-3.046488706
459.8139939,-7.034928131
459.8159304,-8.023367556
459.8178667,12.98819302
459.8198027,6.999753593
459.8217385,5.011314168
459.823674,13.02287474
459.8256093,24.03443532
459.8275443,33.04599589
459.8294792,35.05755647
459.8314137,18.06911704
459.833348,11.08067762
459.8352821,-12.90776181
459.8372159,-8.896201232
459.8391495,-17.88464066
459.8410829,-10.87308008
459.843016,-44.86151951
459.8449488,-22.84995893
459.8468814,-21.83839836
459.8488138,-13.82683778
459.8507459,-31.81527721
459.8526778,-27.80371663
459.8546095,-38.79215606
459.8565409,-34.78059548
459.858472,-22.76903491
459.8604029,-28.75747433
459.8623336,-36.74591376
459.864264,-25.73435318
459.8661942,-21.72279261
459.8681241,-24.71123203
459.8700538,-32.69967146
459.8719833,-21.68811088
459.8739125,-17.67655031
459.8758414,-10.66498973
459.8777702,-23.65342916
459.8796986,-29.64186858
459.8816269,-24.63030801
459.8835549,-34.61874743
459.8854826,-23.60718686
459.8874101,-16.59562628
459.8893374,-16.58406571
459.8912644,-20.57250513
459.8931912,-24.56094456
459.8951177,-26.54938398
459.897044,-29.53782341
459.89897,-26.52626283
459.9008958,-28.51470226
459.9028214,-0.503141684
459.9047467,-11.49158111
459.9066717,-17.48002053
459.9085966,-20.46845996
459.9105211,-10.45689938
459.9124455,-18.44533881
459.9143696,-0.433778234
459.9162934,-9.422217659
459.918217,-8.410657084
459.9201404,2.600903491
459.9220635,7.612464066
459.9239864,-2.375975359
459.925909,4.635585216
459.9278314,13.64714579
459.9297535,-5.341293634
459.9316754,-7.32973306
459.9335971,-15.31817248
459.9355185,-16.30661191
459.9374397,-10.29505133
459.9393606,-8.28349076
459.9412813,4.728069815
459.9432017,17.73963039
459.9451219,29.75119097
459.9470419,4.76275154
459.9489616,-13.22568789
459.9508811,-24.21412731
459.9528003,-5.202566735
459.9547193,-21.19100616
459.956638,-10.17944559
459.9585565,-5.16788501
459.9604747,-10.15632444
459.9623927,-23.14476386
459.9643105,-20.13320329
459.966228,-12.12164271
459.9681453,-6.110082136
459.9700623,-1.098521561
459.9719791,-30.08696099
459.9738956,-19.07540041
459.9758119,-10.06383984
459.977728,-26.05227926
459.9796438,-12.04071869
459.9815593,5.970841889
459.9834747,5.982402464
459.9853897,12.99396304
459.9873046,2.005523614
459.9892192,-16.98291581
459.9911335,-14.97135524
459.9930476,-13.95979466
459.9949615,-25.94823409
459.9968751,-33.93667351
459.9987885,-23.92511294
460.0007016,-26.91355236
460.0026145,-27.90199179
460.0045271,-23.89043121
460.0064395,-22.87887064
460.0083517,-19.86731006
460.0102636,-32.85574949
460.0121752,-30.84418891
460.0140867,-20.83262834
460.0159978,-16.82106776
460.0179088,0.190492813
460.0198195,0.202053388
460.0217299,-20.78638604
460.0236401,-25.77482546
460.0255501,-30.76326489
460.0274598,-13.75170431
460.0293692,-19.74014374
460.0312785,-17.72858316
460.0331874,-22.71702259
460.0350962,-14.70546201
460.0370047,-12.69390144
460.0389129,-13.68234086
460.0408209,-5.670780287
460.0427287,-22.65921971
460.0446362,-18.64765914
460.0465435,-17.63609856
460.0484505,-11.62453799
460.0503573,-7.612977413
460.0522639,-17.60141684
460.0541702,-7.589856263
460.0560762,-2.578295688
460.057982,9.433264887
460.0598876,-4.555174538
460.0617929,18.45638604
460.063698,42.46794661
460.0656028,58.47950719
460.0675074,81.49106776
460.0694118,65.50262834
460.0713159,72.51418891
460.0732197,63.52574949
460.0751234,76.53731006
460.0770267,47.54887064
460.0789299,13.56043121
460.0808327,13.57199179
460.0827354,4.583552361
460.0846378,0.595112936
460.0865399,2.606673511
460.0884418,7.618234086
460.0903435,-10.37020534
460.0922449,5.641355236
460.0941461,9.652915811
460.096047,24.66447639
460.0979477,41.67603696
460.0998482,47.68759754
460.1017484,90.69915811
460.1036483,133.7107187
460.105548,224.7222793
460.1074475,307.7338398
460.1093467,335.7454004
460.1112457,356.756961
460.1131444,310.7685216
460.1150429,227.7800821
460.1169412,171.7916427
460.1188392,133.8032033
460.1207369,97.81476386
460.1226344,62.82632444
460.1245317,65.83788501
460.1264287,39.84944559
460.1283255,8.86100616
460.1302221,6.872566735
460.1321184,5.88412731
460.1340144,-2.104312115
460.1359102,-7.09275154
460.1378058,-13.08119097
460.1397011,-12.06963039
460.1415962,-19.05806982
460.143491,-1.04650924
460.1453856,2.965051335
460.1472799,9.97661191
460.149174,-7.011827515
460.1510679,-10.00026694
460.1529615,-0.988706366
460.1548549,-5.977145791
460.156748,-3.965585216
460.1586409,-14.95402464
460.1605335,-14.94246407
460.1624259,-29.93090349
460.164318,-10.91934292
460.1662099,4.092217659
460.1681016,11.10377823
460.169993,8.115338809
460.1718842,23.12689938
460.1737751,45.13845996
460.1756658,70.15002053
460.1775562,63.16158111
460.1794464,75.17314168
460.1813363,75.18470226
460.183226,39.19626283
460.1851155,23.20782341
460.1870047,17.21938398
460.1888937,5.230944559
460.1907824,-10.75749487
460.1926709,-7.745934292
460.1945591,14.26562628
460.1964471,5.277186858
460.1983349,-5.711252567
460.2002224,-6.699691992
460.2021096,-2.688131417
460.2039966,-2.676570842
460.2058834,1.334989733
460.2077699,7.346550308
460.2096562,5.358110883
460.2115423,-6.630328542
460.2134281,-0.618767967
460.2153136,5.392792608
460.2171989,-4.595646817
460.219084,-12.58408624
460.2209688,15.42747433
460.2228534,-1.560965092
