波长nm	计数count
344.28	2739
344.34	2822
344.4	1909
344.46	2439
344.52	3277
344.58	2337
344.63	2387
344.69	2768
344.75	3575
344.81	2560
344.87	2526
344.93	2037
344.99	2398
345.04	1859
345.1	2476
345.16	2741
345.22	2204
345.28	2389
345.34	2009
345.4	2658
345.46	2642
345.51	2184
345.57	2678
345.63	3082
345.69	3045
345.75	2499
345.81	2740
345.87	2067
345.92	3363
345.98	3710
346.04	2545
346.1	2344
346.16	2417
346.22	2033
346.27	2537
346.33	2302
346.39	2350
346.45	2080
346.51	1968
346.57	2718
346.63	1987
346.68	2749
346.74	2164
346.8	2570
346.86	3947
346.92	2207
346.98	2714
347.03	2486
347.09	1977
347.15	1773
347.21	2151
347.27	2545
347.33	2117
347.38	2220
347.44	3336
347.5	2311
347.56	2150
347.62	2472
347.68	2208
347.73	2398
347.79	1905
347.85	1847
347.91	2448
347.97	2146
348.03	2785
348.08	2950
348.14	3053
348.2	1724
348.26	1831
348.32	2530
348.37	2129
348.43	2112
348.49	3318
348.55	3111
348.61	3251
348.66	1792
348.72	2338
348.78	2009
348.84	2669
348.9	2171
348.96	2888
349.01	2391
349.07	2718
349.13	1844
349.19	2257
349.25	1724
349.3	2425
349.36	2397
349.42	1968
349.48	2062
349.54	2786
349.59	2228
349.65	2162
349.71	3272
349.77	2559
349.83	2277
349.88	1908
349.94	2885
350	1746
350.06	2325
350.11	2354
350.17	3102
350.23	2986
350.29	2193
350.35	1810
350.4	2635
350.46	2885
350.52	2537
350.58	2638
350.64	2563
350.69	1967
350.75	2784
350.81	1872
350.87	2791
350.92	2023
350.98	2165
351.04	1760
351.1	2576
351.16	2563
351.21	2257
351.27	3436
351.33	3166
351.39	2832
351.44	2195
351.5	3072
351.56	2512
351.62	2227
351.67	2110
351.73	2483
351.79	2012
351.85	2542
351.9	2077
351.96	2905
352.02	1765
352.08	2084
352.13	1991
352.19	2292
352.25	1666
352.31	2788
352.37	2312
352.42	2109
352.48	1502
352.54	2631
352.6	2578
352.65	2666
352.71	2800
352.77	2017
352.83	2395
352.88	2027
352.94	1997
353	1980
353.05	2988
353.11	2719
353.17	2205
353.23	2326
353.28	2140
353.34	2762
353.4	2213
353.46	3758
353.51	2221
353.57	2440
353.63	2667
353.69	1992
353.74	2789
353.8	2364
353.86	2224
353.91	1927
353.97	2272
354.03	2240
354.09	1990
354.14	2200
354.2	2803
354.26	3316
354.32	1468
354.37	1925
354.43	3430
354.49	2561
354.54	2620
354.6	2136
354.66	1800
354.72	2833
354.77	1996
354.83	2706
354.89	2122
354.94	2050
355	2282
355.06	2260
355.12	2487
355.17	3085
355.23	2483
355.29	3187
355.34	2102
